,date,notes,name
258,2011-01-05,rotator cuff injury (DTD),tonybattie
259,2011-01-05,surgery to repair ruptured right Achilles tendon (out for season),desaganadiop
260,2011-01-05,hyperextended left knee (DNP),stephenjackson
261,2011-01-05,surgery on left foot (out indefinitely),brandonjennings
262,2011-01-05,plantar fasciitis in left foot (DNP),drewgooden
263,2011-01-05,bruised right hip (DNP),paulmillsap
264,2011-01-06,sprained left ankle (DTD),danielgibson
265,2011-01-06,torn ACL and partially torn MCL in right knee (out for season),ganilawal
266,2011-01-07,recovering from surgery on left foot (DNP),brandonjennings
267,2011-01-07,plantar fasciitis in left foot (DNP),drewgooden
268,2011-01-07,torn tendon in right ankle (out for season),andersonvarejao
269,2011-01-07,strained lower back (DNP),anthonyparker
270,2011-01-07,sprained left ankle (DNP),jerrydbayless
271,2011-01-07,surgery on left ankle to repair stress fracture (out for season),yaoming
272,2011-01-07,back spasms (DNP),sonnyweems
273,2011-01-08,virus (DNP),andrewbogut
274,2011-01-08,recovering from surgery on left foot (DNP),brandonjennings
275,2011-01-08,plantar fasciitis in left foot (DNP),drewgooden
276,2011-01-08,torn cartilage in right knee (out indefinitely),mattbarnes
277,2011-01-08,bruised right quadriceps (DNP),devinharris
278,2011-01-09,strained lower back (DNP),anthonyparker
279,2011-01-09,strained left knee (DNP),tylawson
280,2011-01-09,back spasms (DNP),sonnyweems
281,2011-01-10,sore right knee (DNP),bradmiller
282,2011-01-11,torn tendon in right ankle (DNP),andersonvarejao
283,2011-01-11,strained lower back (DNP),anthonyparker
284,2011-01-11,flu-like symptoms (DNP),anthonyrandolph
285,2011-01-11,surgery on right knee to repair torn lateral meniscus (out indefinitely),mattbarnes
286,2011-01-12,recovering from surgery on left foot (DNP),brandonjennings
287,2011-01-12,sore left knee (DNP),jermaineoneal
288,2011-01-12,sore left knee (DNP),tonyallen
289,2011-01-12,strained right hamstring (DNP),anthonymorrow
290,2011-01-12,sore right knee (DNP),bradmiller
291,2011-01-12,Achilles tendon injury (DTD),reggiewilliams
292,2011-01-13,sprained left ankle (DNP),lebronjames
293,2011-01-13,sprained right shoulder (DNP),andrayblatche
294,2011-01-14,recovering from surgery on left foot (DNP),brandonjennings
295,2011-01-14,sprained right ankle (DNP),christianeyenga
296,2011-01-14,sprained left ankle (DNP),danielgibson
297,2011-01-14,sore left knee (DNP),jermaineoneal
298,2011-01-14,strained right leg (DNP),kevingarnett
299,2011-01-14,right hip pointer (DTD),ronnyturiaf
300,2011-01-14,strained right hamstring (DTD),leandrobarbosa
301,2011-01-14,sore right knee (DTD),mattbonner
302,2011-01-14,strained lower back (DTD),brandanwright
303,2011-01-14,strained right quadriceps (DNP),joeygraham
304,2011-01-15,sprained left ankle (DNP),christianeyenga
305,2011-01-15,sprained right ankle (DNP),danielgibson
306,2011-01-15,strained right quadriceps (DNP),joeygraham
307,2011-01-15,sore left knee (DNP),tonyallen
308,2011-01-15,strained right hamstring (DNP),anthonymorrow
309,2011-01-15,sore/sprained left ankle (DNP),jerrydbayless
310,2011-01-15,strained right hamstring (DNP),leandrobarbosa
311,2011-01-16,sore right knee (DNP),mattbonner
312,2011-01-17,arthroscopic surgery on both knees (out indefinitely),brandonroy
313,2011-01-17,recovering from surgery on left foot (DNP),brandonjennings
314,2011-01-17,sprained left ankle (DNP),carlosboozer
315,2011-01-17,sore left knee (DNP),jermaineoneal
316,2011-01-17,sore left knee (DNP),tonyallen
317,2011-01-17,strained right hamstring (DNP),anthonymorrow
318,2011-01-17,sore left ankle (DNP),jerrydbayless
319,2011-01-17,strained right hamstring (DNP),leandrobarbosa
320,2011-01-17,sore right knee (DNP),linaskleiza
321,2011-01-17,upper respiratory distress / flu (DNP),patrickpatterson
322,2011-01-18,sprained left ankle (DNP),carlosboozer
323,2011-01-19,recovering from surgery on left foot (DNP),brandonjennings
324,2011-01-19,sore right hip (DNP),johnsalmons
325,2011-01-19,sore left knee (DNP),jermaineoneal
326,2011-01-19,sore left knee (DNP),tonyallen
327,2011-01-19,strained right hamstring (DNP),leandrobarbosa
328,2011-01-20,sprained left ankle (DNP),carlosboozer
329,2011-01-20,arthroscopic surgery on left knee to repair torn meniscus,marcuscamby
330,2011-01-20,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),marcuscamby
331,2011-01-21,sore right hip (DNP),johnsalmons
332,2011-01-21,sore left knee (DNP),jermaineoneal
333,2011-01-21,hip injury (DTD),shaquilleoneal
334,2011-01-21,right ankle tendinitis / knee tendinitis (CBC) (DNP),trevorariza
335,2011-01-21,sprained left ankle (DTD),charlievillanueva
336,2011-01-21,sore right knee (DTD),joeydorsey
337,2011-01-21,strained right hamstring (DNP),leandrobarbosa
338,2011-01-21,sprained right thumb (DNP),georgehill
339,2011-01-21,sprained elbow (DTD),kirkhinrich
340,2011-01-22,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),marcuscamby
341,2011-01-22,plantar fasciitis in left foot (DNP),drewgooden
342,2011-01-22,strained right hip (DNP),johnsalmons
343,2011-01-22,strained lower back (DNP),anthonyparker
344,2011-01-22,sore left knee (DNP),jermaineoneal
345,2011-01-22,sore right knee (DNP),shaquilleoneal
346,2011-01-22,migraine headache (DNP),dwyanewade
347,2011-01-22,right knee tendinitis (DNP),trevorariza
348,2011-01-22,foot injury (out indefinitely),jasonwilliams
349,2011-01-22,strained right patella tendon (DNP),joeydorsey
350,2011-01-22,strained right hamstring (DNP),leandrobarbosa
351,2011-01-22,sore right knee (DNP),linaskleiza
352,2011-01-22,sprained right thumb (DNP),georgehill
353,2011-01-24,strained right hip (DNP),johnsalmons
354,2011-01-24,strained lower back (DNP),anthonyparker
355,2011-01-24,strained right patella tendon (DNP),joeydorsey
356,2011-01-24,flu-like symptoms / ankle injury (CBC) (DNP),josecalderon
357,2011-01-24,sore right knee (DNP),linaskleiza
358,2011-01-25,sore right leg (DNP),shaquilleoneal
359,2011-01-25,sprained right wrist (DNP),ericgordon
360,2011-01-26,strained right hip (DNP),johnsalmons
361,2011-01-26,sprained right wrist (DNP),ericgordon
362,2011-01-26,left knee injury (DNP),kenyonmartin
363,2011-01-27,sore right hip (DNP),shaquilleoneal
364,2011-01-28,strained right hip (DNP),johnsalmons
365,2011-01-28,sprained right wrist (DNP),dwyanewade
366,2011-01-28,strained tendon in right wrist (DNP),deronwilliams
367,2011-01-28,strained lower back (DTD),mehmetokur
368,2011-01-28,strained lower back (DNP),jordanfarmar
369,2011-01-28,bruised right shoulder (DNP),rodneystuckey
370,2011-01-28,sprained right ankle (DNP),kirkhinrich
371,2011-01-29,strained right hip (DNP),johnsalmons
372,2011-01-29,strained lower back (DNP),jordanfarmar
373,2011-01-29,right leg injury (DTD),mustafashakur
374,2011-01-30,strained tendon in right wrist (DNP),deronwilliams
375,2011-01-30,sore left calf (DNP),wilsonchandler
376,2011-01-30,bruised left knee (P) / sore right knee (CBC) (DNP),gilbertarenas
377,2011-01-30,bruised right shoulder (DNP),rodneystuckey
378,2011-01-30,surgery on right knee to repair torn ACL and partially torn MCL (out for season),ganilawal
379,2011-01-31,bruised left quadriceps (DNP),danielgibson
380,2011-01-31,sprained right wrist (DNP),ericgordon
381,2011-01-31,strained tendon in right wrist (DNP),deronwilliams
382,2011-01-31,sore left shoulder (DTD),jjredick
383,2011-01-31,strained lower back (DNP),jordanfarmar
384,2011-02-01,sprained right ankle (DNP),jasonthompson
385,2011-02-01,bone bruised in left knee (DNP),andrewbynum
388,2011-02-02,bruised left quadriceps (DNP),danielgibson
389,2011-02-02,sprained right wrist (DNP),ericgordon
390,2011-02-02,sprained left ankle (DNP),andreikirilenko
391,2011-02-02,strained tendon in right wrist (DNP),deronwilliams
392,2011-02-02,sore back (DNP),jasonmaxiell
393,2011-02-02,sprained ankle (DNP),jordanhill
395,2011-02-03,sprained left ankle (DNP),brandonbass
396,2011-02-03,microfracture surgery on right knee to repair cartilage damage (out for season),linaskleiza
397,2011-02-04,sore right leg / Achilles tendon (CBC) (DNP),shaquilleoneal
398,2011-02-04,sprained right wrist (DNP),ericgordon
399,2011-02-04,sprained left ankle (DNP),andreikirilenko
400,2011-02-04,torn patella tendon in left knee (out for season),hassanwhiteside
401,2011-02-04,sprained right ankle (DNP),jasonthompson
402,2011-02-04,sprained left ankle (DNP),brandonbass
403,2011-02-04,sore back (DNP),jasonmaxiell
404,2011-02-04,sprained right knee (DTD),jerrydbayless
405,2011-02-04,left ankle injury (DTD),michaelbeasley
406,2011-02-05,facial injury (DNP),dantecunningham
407,2011-02-05,sprained right ankle (DNP),trevorariza
408,2011-02-05,sprained left ankle (DNP),andreikirilenko
409,2011-02-05,sore back (DNP),jasonmaxiell
411,2011-02-06,bruised spinal cord (out indefinitely),marquisdaniels
412,2011-02-06,sore right leg (DNP),shaquilleoneal
413,2011-02-06,sprained right wrist (DNP),ericgordon
414,2011-02-06,sprained left ankle (DNP),brandonbass
415,2011-02-07,strained right adductor (DNP),semiherden
416,2011-02-07,sore right leg (DNP),shaquilleoneal
417,2011-02-07,left knee injury (DTD),franciscoelson
418,2011-02-08,sprained right wrist (DNP),ericgordon
419,2011-02-08,sprained left ankle (DNP),brandonbass
420,2011-02-08,stress fracture in fifth metatarsal in right foot (out indefinitely),dominiquejones
421,2011-02-08,sore groin (DNP),chriswilcox
422,2011-02-08,sore groin (DNP),richardhamilton
423,2011-02-08,sore left foot (DNP),alexisajincaalexajinca
424,2011-02-08,strained left hip flexor (DNP),darkomilicic
425,2011-02-08,sprained left ankle (DNP),michaelbeasley
426,2011-02-09,sprained right wrist (DNP),ericgordon
427,2011-02-09,left knee inflammation (DNP),franciscoelson
428,2011-02-09,sprained left ankle (DNP),brandonbass
429,2011-02-09,sore groin (DNP),richardhamilton
430,2011-02-09,dislocated right middle finger (DNP),althornton
431,2011-02-09,sprained left ankle (DNP),yijianlianjianlianyi
432,2011-02-10,strained right adductor (DNP),semiherden
433,2011-02-10,sore right leg (DNP),shaquilleoneal
434,2011-02-11,sprained right wrist (DNP),ericgordon
435,2011-02-11,strained left calf (DNP),rajabell
436,2011-02-11,sprained right big toe (DNP),ronnieprice
437,2011-02-11,sprained left ankle (DNP),brandonbass
438,2011-02-11,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),dominiquejones
439,2011-02-11,sore groin (DNP),richardhamilton
440,2011-02-11,sore left foot (DNP),alexisajincaalexajinca
441,2011-02-11,strained left hamstring (DNP),tiagosplitter
442,2011-02-11,strained left hip flexor (DNP),darkomilicic
443,2011-02-11,sprained left ankle (DNP),michaelbeasley
444,2011-02-11,back spasms (DNP),larrysanders
445,2011-02-12,surgery on right ankle to repair torn tendon (date approximate),andersonvarejao
446,2011-02-12,strained left hamstring (DNP),tiagosplitter
447,2011-02-12,strained left hip flexor (DNP),darkomilicic
448,2011-02-13,strained right adductor (DNP),semiherden
449,2011-02-13,sore right leg (DNP),shaquilleoneal
450,2011-02-13,sprained right wrist (DNP),ericgordon
451,2011-02-13,sore right knee (DTD),lutherhead
452,2011-02-13,back spasms (DTD),dangadzuric
453,2011-02-14,fractured right wrist (DNP),ericgordon
454,2011-02-15,groin injury (DNP),eduardonajera
455,2011-02-15,surgery on right knee to repair cartilage (out indefinitely),dexterpittman
456,2011-02-15,sprained right ankle (DNP),andreikirilenko
457,2011-02-15,strained left calf (DNP),rajabell
458,2011-02-15,sprained right big toe (DNP),ronnieprice
459,2011-02-15,plantar fasciitis in right foot (DNP),tyrekeevans
460,2011-02-16,right eye contusion (DNP),ersanilyasova
461,2011-02-16,sore left knee (DNP),keyondooling
462,2011-02-16,sore right leg (DNP),shaquilleoneal
463,2011-02-16,sprained right wrist (DNP),ericgordon
464,2011-02-16,partially dislocated left shoulder (out indefinitely),rudygay
465,2011-02-16,sprained right ankle (DNP),andreikirilenko
466,2011-02-16,strained left calf (DNP),rajabell
467,2011-02-16,sprained right big toe (DNP),ronnieprice
468,2011-02-16,plantar fasciitis in right foot (DNP),tyrekeevans
470,2011-02-17,strained left hamstring (DNP),tiagosplitter
471,2011-02-21,left calf injury (DNP),franciscogarcia
475,2011-02-23,left hand injury (DTD),seanmarks
476,2011-02-23,sprained right big toe (DNP),ronnieprice
477,2011-02-23,plantar fasciitis in left foot (DNP) (P),tyrekeevans
481,2011-02-25,sprained ankle (DTD),melvinely
482,2011-02-25,concussion symptoms (DNP),garyneal
484,2011-02-25,sore back (DNP),martellwebster
485,2011-02-25,ruptured right Achilles tendon (DNP),desaganadiop
486,2011-02-25,torn meniscus in right knee (DNP),tyrusthomas
487,2011-02-25,strained left calf (DNP),franciscogarcia
488,2011-02-26,concussion (DNP),ersanilyasova
489,2011-02-26,strained left calf (DNP),franciscogarcia
490,2011-02-26,strained lower back (DNP),quintonross
491,2011-02-26,back injury / illness (P) (DNP),tayshaunprince
493,2011-02-27,torn meniscus in right knee (DNP),tyrusthomas
494,2011-02-27,broken left little finger (out indefinitely),antawnjamison
496,2011-02-27,concussion symptoms (DNP),garyneal
497,2011-02-28,surgery to repair broken left little finger (out indefinitely),antawnjamison
498,2011-02-28,sprained right ankle (DNP),delontewest
499,2011-02-28,sore right calf (DNP),kirkhinrich
500,2011-02-28,strained left calf (DNP),franciscogarcia
501,2011-02-28,strained left calf muscle (out indefinitely),tonyparker
502,2011-03-01,illness / flu (DNP),rudyfernandez
503,2011-03-01,strained left rib muscle (DNP),andrewbogut
505,2011-03-01,sore left knee (DNP),gilbertarenas
506,2011-03-01,sore SI joint (DNP),tayshaunprince
507,2011-03-02,quadriceps injury (DTD),danielgibson
508,2011-03-02,groin injury (DTD),semiherden
509,2011-03-02,sprained MCL in right knee (DTD),joshsmith
510,2011-03-03,patellar tendinitis in left knee (out indefinitely),glendavis
511,2011-03-03,cold (DNP),derrickfavors
512,2011-03-03,arthroscopic surgery on right knee (out indefinitely),naterobinson
513,2011-03-04,concussion (DNP),ersanilyasova
514,2011-03-04,stomach virus (DNP),lucrichardmbahamoutelucmbahamoute
