,Date,Notes,name
2119,2012-04-26,rest (DNP),louiswilliamslouwilliams
2120,2012-04-26,rest (DNP),thaddeusyoung
2127,2012-04-26,rest (DNP),drewgooden
2130,2012-04-26,rest (DNP),derrickrose
2131,2012-04-26,rest (DNP),kylekorver
2132,2012-04-26,rest (DNP),kyrieirving
2137,2012-04-26,rest (DNP),lebronjames
2142,2012-04-26,rest (DNP),barondavis
2143,2012-04-26,rest (DNP),carmeloanthony
2145,2012-04-26,rest (DNP),tysonchandler
2146,2012-04-26,rest (DNP),andrewbynum
2147,2012-04-26,rest (DNP),kobebryant
2148,2012-04-26,rest (DNP),paugasol
2162,2012-04-26,rest (DNP),emanuelginobilimanuginobili
2164,2012-04-26,rest (DNP),kawhileonard
2165,2012-04-26,rest (DNP),stephenjackson
2167,2012-04-26,rest (DNP),richardjefferson
2347,2012-11-29,rest (DNP),tonyparker
2348,2012-11-29,rest (DNP),dannygreen
2349,2012-11-29,rest (DNP),emanuelginobilimanuginobili
2350,2012-11-29,rest (DNP),timduncan
2709,2013-01-19,rest (DNP),timduncan
2732,2013-01-23,rest (DTD),timduncan
3484,2013-10-30,rest (DNP),stevenash
3542,2013-11-08,rest (DNP),stevenash
3575,2013-11-11,rest (DNP),timduncan
3706,2013-11-29,rest (DNP),kevingarnett
3900,2013-12-19,rest (DNP),emanuelginobilimanuginobili
3912,2013-12-20,rest (DNP),kevingarnett
4097,2014-01-11,rest (DNP),kevingarnett
4151,2014-01-18,rest (DNP),dwyanewade
4345,2014-02-05,rest (DNP),stevenash
4356,2014-02-06,rest (DNP),timduncan
4367,2014-02-07,rest (DNP),kevingarnett
4424,2014-02-12,rest (DNP),tonyparker
4448,2014-02-19,rest (DNP),timduncan
4474,2014-02-22,rest (DNP),rajonrondo
4491,2014-02-23,rest (DNP),kevingarnett
4620,2014-03-07,rest (DNP),kevingarnett
4652,2014-03-12,rest (DNP),rajonrondo
4655,2014-03-12,rest (DNP),amarestoudemireamarestoudemire
4682,2014-03-16,rest (DNP),russellwestbrook
4922,2014-04-03,rest (DNP),emanuelginobilimanuginobili
4963,2014-04-05,rest (DNP),rajonrondo
5031,2014-04-09,rest (DNP),davidwest
5032,2014-04-09,rest (DNP),georgehill
5033,2014-04-09,rest (DNP),lancestephenson
5034,2014-04-09,rest (DNP),paulgeorge
5138,2014-04-14,rest (DNP),patrickmillspattymills
5157,2014-04-16,rest (DNP),chrispaul
5159,2014-04-16,rest (DNP),jjredick
5177,2014-04-16,rest (DNP),kevingarnett
5178,2014-04-16,rest (DNP),paulpierce
5188,2014-04-16,rest (DNP),chandlerparsons
5189,2014-04-16,rest (DNP),jeremylin
5195,2014-04-16,rest (DNP),davidlee
5197,2014-04-16,rest (DNP),stephencurry
5198,2014-04-16,rest (DNP),andreiguodala
5287,2014-11-06,rest (DTD),emanuelginobilimanuginobili
5289,2014-11-06,rest (DTD),timduncan
5318,2014-11-14,rest (DTD),amarestoudemireamarestoudemire
5392,2014-11-29,rest (DTD),dirknowitzki
5401,2014-12-01,rest (DTD),timduncan
5443,2014-12-10,rest (DTD),emanuelginobilimanuginobili
5444,2014-12-10,rest (DTD),timduncan
5457,2014-12-13,rest (DTD),kevingarnett
5472,2014-12-15,rest (DTD),timduncan
5499,2014-12-20,rest (DTD),amarestoudemireamarestoudemire
5503,2014-12-20,rest (DTD),dannygreen
5504,2014-12-20,rest (DTD),emanuelginobilimanuginobili
5505,2014-12-20,rest (DTD),tiagosplitter
5506,2014-12-20,rest (DTD),timduncan
5585,2015-01-05,rest (DTD),kobebryant
5588,2015-01-05,rest (DTD),kevingarnett
5610,2015-01-09,rest (DTD),kobebryant
5612,2015-01-09,rest (DTD),kevingarnett
5637,2015-01-14,rest (DTD),dirknowitzki
5650,2015-01-16,rest (DTD),kobebryant
5657,2015-01-16,rest (DTD),andreiguodala
5680,2015-01-22,rest (DTD),kevingarnett
5688,2015-01-23,rest (DTD),andreiguodala
5754,2015-02-05,rest (DTD),dirknowitzki
5770,2015-02-07,rest (DTD),kevingarnett
5868,2015-02-27,rest (DTD),andreiguodala
5946,2015-03-12,rest (DTD),marcgasol
5948,2015-03-12,rest (DTD),zachrandolph
5953,2015-03-13,rest (DTD),jasonrichardson
5963,2015-03-13,rest (DTD),andreiguodala
5964,2015-03-13,rest (DTD),klaythompson
5965,2015-03-13,rest (DTD),stephencurry
5968,2015-03-14,rest (DTD),lucrichardmbahamoutelucmbahamoute
5984,2015-03-15,rest (DTD),demarrecarroll
5985,2015-03-15,rest (DTD),jeffteague
5986,2015-03-15,rest (DTD),paulmillsap
5993,2015-03-16,rest (DTD),alhorford
5998,2015-03-16,rest (DTD),danilogallinari
5999,2015-03-16,rest (DTD),kennethfaried
6000,2015-03-16,rest (DTD),tylawson
6058,2015-03-24,rest (DTD),jasonrichardson
6095,2015-03-28,rest (DTD),alhorford
6096,2015-03-28,rest (DTD),demarrecarroll
6097,2015-03-28,rest (DTD),kylekorver
6098,2015-03-28,rest (DTD),paulmillsap
6116,2015-03-30,rest (DTD),demarcuscousins
6209,2015-04-12,rest (DTD),jrsmith
6210,2015-04-12,rest (DTD),lebronjames
6211,2015-04-12,rest (DTD),alhorford
6212,2015-04-12,rest (DTD),demarrecarroll
6213,2015-04-12,rest (DTD),jeffteague
6214,2015-04-12,rest (DTD),kylekorver
6215,2015-04-12,rest (DTD),amarestoudemireamarestoudemire
6245,2015-04-14,rest (DTD),demarderozan
6273,2015-04-15,rest (DNP),bradleybeal
6274,2015-04-15,rest (DTD),johnwall(a)
6275,2015-04-15,rest (DTD),paulpierce
6370,2015-10-29,rest (DTD),wesleymatthewswesmatthewsjr
6384,2015-11-01,rest (DTD),dwighthoward
6441,2015-11-11,rest (DTD),jabariparker
6514,2015-11-21,rest (DTD),dwighthoward
6553,2015-12-01,rest (DNP),chandlerparsons
6565,2015-12-04,rest (DTD),dwighthoward
6569,2015-12-05,rest (DTD),lebronjames
6575,2015-12-06,rest (DNP),chandlerparsons
6577,2015-12-06,rest (DTD),javalemcgee
6585,2015-12-07,rest (DTD),emanuelginobilimanuginobili
6652,2015-12-21,rest (DTD),kevingarnett
6762,2016-01-06,rest (DTD),wesleymatthewswesmatthewsjr
6763,2016-01-06,rest (DTD),zaurpachuliazazapachulia
6821,2016-01-13,rest (DTD),deronwilliams
6822,2016-01-13,rest (DTD),dirknowitzki
6826,2016-01-13,rest (DTD),draymondgreen
6937,2016-01-27,rest (DTD),dirknowitzki
6950,2016-01-29,rest (DTD),paulpierce
6962,2016-01-30,rest (DTD),andreiguodala
7009,2016-02-08,rest (DTD),paulpierce
7096,2016-02-28,rest (DTD),lebronjames
7099,2016-02-28,rest (DTD),kylelowry
7137,2016-03-05,rest (DTD),dannygreen
7224,2016-03-15,rest (DTD),demarderozan
7230,2016-03-16,rest (DTD),lebronjames
7314,2016-03-25,rest (DTD),dirknowitzki
7318,2016-03-25,rest (DTD),dannygreen
7319,2016-03-25,rest (DTD),patrickmillspattymills
7324,2016-03-26,rest (DTD),tonyparker
7325,2016-03-26,rest (DTD),emanuelginobilimanuginobili
7326,2016-03-26,rest (DTD),lamarcusaldridge
7332,2016-03-27,rest (DTD),shaunlivingston
7337,2016-03-28,rest (DTD),demarcuscousins
7338,2016-03-28,rest (DTD),rajonrondo
7339,2016-03-28,rest (DTD),rudygay
7343,2016-03-28,rest (DTD),davidwest
7354,2016-03-29,rest (DTD),kevindurant
7368,2016-03-31,rest (DTD),chrispaul
7369,2016-03-31,rest (DTD),deandrejordan
7370,2016-03-31,rest (DTD),jjredick
7372,2016-03-31,rest (DTD),brooklopez
7375,2016-04-01,rest (DTD),jaecrowder
7380,2016-04-01,rest (DTD),bojanbogdanovic
7385,2016-04-02,rest (DTD),rajonrondo
7388,2016-04-02,rest (DTD),demarcuscousins
7394,2016-04-03,rest (DTD),carmeloanthony
7404,2016-04-05,rest (DTD),darrencollison
7405,2016-04-05,rest (DTD),kostakoufos
7406,2016-04-05,rest (DTD),rudygay
7411,2016-04-06,rest (DTD),jamalcrawford
7413,2016-04-06,rest (DTD),kevindurant
7414,2016-04-06,rest (DTD),nazrmohammed
7415,2016-04-06,rest (DTD),russellwestbrook
7416,2016-04-06,rest (DTD),sergeibaka
7419,2016-04-07,rest (DTD),demarcuscousins
7420,2016-04-07,rest (DTD),rajonrondo
7429,2016-04-08,rest (DTD),blakegriffin
7430,2016-04-08,rest (DTD),chrispaul
7431,2016-04-08,rest (DTD),deandrejordan
7432,2016-04-08,rest (DTD),jjredick
7435,2016-04-08,rest (DTD),kennethfaried
7436,2016-04-08,rest (DTD),kylelowry
7437,2016-04-08,rest (DTD),luisscola
7438,2016-04-08,rest (DTD),tonyparker
7439,2016-04-08,rest (DTD),dannygreen
7440,2016-04-08,rest (DTD),kawhileonard
7441,2016-04-08,rest (DTD),lamarcusaldridge
7448,2016-04-09,rest (DTD),rajonrondo
7459,2016-04-10,rest (DTD),jamesjohnson
7464,2016-04-11,rest (DTD),derrickrose
7470,2016-04-11,rest (DTD),rajonrondo
7482,2016-04-12,rest (DTD),russellwestbrook
7485,2016-04-13,rest (DTD),derrickrose
7486,2016-04-13,rest (DTD),mikedunleavyjr
7487,2016-04-13,rest (DTD),jrsmith
7488,2016-04-13,rest (DTD),kevinlove
7489,2016-04-13,rest (DTD),kyrieirving
7490,2016-04-13,rest (DTD),lebronjames
7491,2016-04-13,rest (DTD),blakegriffin
7492,2016-04-13,rest (DTD),chrispaul
7493,2016-04-13,rest (DTD),deandrejordan
7498,2016-04-13,rest (DTD),caronbutler
7499,2016-04-13,rest (DTD),rajonrondo
7506,2016-04-13,rest (DTD),georgehill
7507,2016-04-13,rest (DTD),montaellis
7508,2016-04-13,rest (DTD),paulgeorge
7510,2016-04-13,rest (DTD),andredrummond
7511,2016-04-13,rest (DTD),kentaviouscaldwellpope
7513,2016-04-13,rest (DTD),tobiasharris
7514,2016-04-13,rest (DTD),demarderozan
7515,2016-04-13,rest (DTD),jonasvalanciunas
7516,2016-04-13,rest (DTD),kylelowry
7517,2016-04-13,rest (DTD),luisscola
7518,2016-04-13,rest (DTD),tonyparker
7519,2016-04-13,rest (DTD),davidwest
7520,2016-04-13,rest (DTD),kawhileonard
7521,2016-04-13,rest (DTD),lamarcusaldridge
7523,2016-04-13,rest (DTD),marcingortat
7670,2016-10-29,rest (DTD),brooklopez
7680,2016-11-01,rest (DTD),marcgasol
7681,2016-11-01,rest (DTD),mikeconleyjr
7711,2016-11-09,rest (DTD),andrewbogut
7712,2016-11-09,rest (DTD),josejuanbareajosebareajjbarea
7713,2016-11-09,rest (DTD),wesleymatthewswesmatthewsjr
7721,2016-11-12,rest (DTD),joelembiid
7740,2016-11-15,rest (DTD),demarrecarroll
7744,2016-11-16,rest (DTD),lebronjames
7771,2016-11-20,rest (DTD),dwyanewade
7782,2016-11-21,rest (DTD),demarrecarroll
7785,2016-11-21,rest (DTD),lamarcusaldridge
7793,2016-11-23,rest (DTD),kylekorver
7807,2016-11-25,rest (DTD),joelembiid
7835,2016-11-28,rest (DTD),joelembiid
7841,2016-11-29,rest (DTD),blakegriffin
7856,2016-11-30,rest (DTD),tonyparker
7862,2016-12-01,rest (DTD),andrewbogut
7866,2016-12-02,rest (DTD),jjredick
7869,2016-12-02,rest (DTD),demarrecarroll
7870,2016-12-03,rest (DTD),joelembiid
7893,2016-12-06,rest (DTD),joelembiid
7898,2016-12-06,rest (DTD),emanuelginobilimanuginobili
7907,2016-12-09,rest (DTD),mattbarnes
7910,2016-12-09,rest (DTD),demarrecarroll
7919,2016-12-10,rest (DTD),anthonydavis
7930,2016-12-12,rest (DTD),mattbarnes
7935,2016-12-13,rest (DTD),marcgasol
7942,2016-12-14,rest (DTD),kevinlove
7943,2016-12-14,rest (DTD),lebronjames
7951,2016-12-14,rest (DTD),demarcuscousins
8009,2016-12-23,rest (DTD),tonyparker
8018,2016-12-26,rest (DTD),lebronjames
8023,2016-12-27,rest (DTD),chandlerparsons
8039,2016-12-29,rest (DTD),joelembiid
8130,2017-01-10,rest (DTD),dwyanewade
8165,2017-01-15,rest (DTD),dwyanewade
8172,2017-01-16,rest (DTD),dwighthoward
8204,2017-01-20,rest (DTD),chandlerparsons
8210,2017-01-21,rest (DTD),joelembiid
8250,2017-01-26,rest (DTD),dirknowitzki
8261,2017-01-27,rest (DTD),brooklopez
8262,2017-01-27,rest (DTD),carislevert
8277,2017-01-29,rest (DTD),joelembiid
8304,2017-02-02,rest (DTD),joelembiid
8329,2017-02-04,rest (DTD),marcgasol
8354,2017-02-08,rest (DTD),vincecarter
8362,2017-02-09,rest (DTD),joelembiid
8371,2017-02-10,rest (DTD),chandlerparsons
8386,2017-02-13,rest (DTD),tonyallen
8447,2017-03-04,rest (DTD),kyrieirving
8448,2017-03-04,rest (DTD),lebronjames
8486,2017-03-10,rest (DTD),shaunlivingston
8496,2017-03-11,rest (DTD),klaythompson
8497,2017-03-11,rest (DTD),stephencurry
8513,2017-03-13,rest (DTD),darrellarthur
8534,2017-03-16,rest (DTD),blakegriffin
8536,2017-03-16,rest (DTD),trevorbooker
8545,2017-03-18,rest (DTD),kevinlove
8547,2017-03-18,rest (DTD),lebronjames
8566,2017-03-20,rest (DTD),geraldhenderson(b)
8581,2017-03-22,rest (DTD),kostakoufos
8582,2017-03-22,rest (DTD),tylawson
8608,2017-03-26,rest (DTD),brandonknight
8611,2017-03-26,rest (DTD),tysonchandler
8660,2017-04-04,rest (DTD),darrencollison
8661,2017-04-04,rest (DTD),kostakoufos
8662,2017-04-04,rest (DTD),tylawson
8664,2017-04-04,rest (DTD),wesleymatthewswesmatthewsjr
8675,2017-04-05,rest (DTD),andreiguodala
8676,2017-04-05,rest (DTD),draymondgreen
8682,2017-04-07,rest (DTD),dwighthoward
8685,2017-04-07,rest (DTD),garretttemple
8686,2017-04-07,rest (DTD),kostakoufos
8691,2017-04-07,rest (DTD),tonyparker
8692,2017-04-07,rest (DTD),emanuelginobilimanuginobili
8693,2017-04-07,rest (DTD),kawhileonard
8694,2017-04-07,rest (DTD),lamarcusaldridge
8695,2017-04-07,rest (DTD),paugasol
8717,2017-04-09,rest (DTD),josejuanbareajosebareajjbarea
8719,2017-04-09,rest (DTD),ericgordon
8726,2017-04-10,rest (DTD),kyrieirving
8727,2017-04-10,rest (DTD),lebronjames
8734,2017-04-10,rest (DTD),klaythompson
8745,2017-04-11,rest (DTD),willbarton
8748,2017-04-11,rest (DTD),russellwestbrook
8749,2017-04-11,rest (DTD),tajgibson
8752,2017-04-12,rest (DTD),alfarouqaminu
8753,2017-04-12,rest (DTD),cjmccollum
8754,2017-04-12,rest (DTD),damianlillard
8755,2017-04-12,rest (DTD),giannisantetokounmpo
8756,2017-04-12,rest (DTD),matthewdellavedovamattdellavedova
8757,2017-04-12,rest (DTD),tonysnell
8758,2017-04-12,rest (DTD),kevinlove
8759,2017-04-12,rest (DTD),dennisschroder
8760,2017-04-12,rest (DTD),dwighthoward
8761,2017-04-12,rest (DTD),timhardawayjr
8764,2017-04-12,rest (DTD),kostakoufos
8770,2017-04-12,rest (DTD),brooklopez
8780,2017-04-12,rest (DTD),markieffmorris
8783,2017-04-12,rest (DTD),johnwall(a)
8898,2017-10-25,rest (DTD),chandlerparsons
8919,2017-10-30,rest (DTD),emanuelginobilimanuginobili
8956,2017-11-11,rest (DTD),emanuelginobilimanuginobili
9050,2017-12-03,rest (DTD),emanuelginobilimanuginobili
9051,2017-12-03,rest (DTD),lamarcusaldridge
9080,2017-12-08,rest (DTD),rajonrondo
9086,2017-12-09,rest (DTD),chandlerparsons
9128,2017-12-15,rest (DTD),demarrecarroll
9135,2017-12-16,rest (DTD),chandlerparsons
9166,2017-12-20,rest (DTD),tonyparker
9174,2017-12-21,rest (DTD),emanuelginobilimanuginobili
9176,2017-12-22,rest (DTD),milosteodosic
9232,2018-01-03,rest (DTD),tonyparker
9233,2018-01-03,rest (DTD),emanuelginobilimanuginobili
9237,2018-01-05,rest (DTD),lamarcusaldridge
9247,2018-01-07,rest (DTD),tonyparker
9254,2018-01-08,rest (DTD),emanuelginobilimanuginobili
9273,2018-01-12,rest (DTD),dwyanewade
9274,2018-01-12,rest (DTD),isaiahthomas
9335,2018-01-24,rest (DTD),lamarcusaldridge
9393,2018-02-03,rest (DTD),joejohnson
9438,2018-02-11,rest (DTD),josejuanbareajosebareajjbarea
9452,2018-02-14,rest (DTD),kentbazemore
9575,2018-03-17,rest (DTD),rajonrondo
9601,2018-03-22,rest (DTD),dennisschroder
9632,2018-03-27,rest (DTD),nerlensnoel
9660,2018-03-29,rest (DTD),laurimarkkanen
9666,2018-03-30,rest (DTD),chandlerparsons
9694,2018-04-01,rest (DTD),johnwall(a)
9708,2018-04-03,rest (DTD),trevorariza
9743,2018-04-09,rest (DTD),marcgasol
9754,2018-04-11,rest (DTD),marcgasol
9757,2018-04-11,rest (DTD),chrispaul
9760,2018-04-11,rest (DTD),jamesharden
